Reference, Quantity, Value, Footprint, Datasheet, BOM
C2 ,1,"16V 220uF","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm",""
C1 C4 C5 C7 C8 ,5,"0805,C0.1","Capacitors_SMD:C_0805",""
C3 C6 ,2,"0805,C10","Capacitors_SMD:C_0805",""
D1 ,1,"PMEG4010EGW","Diodes_SMD:D_SOD-123",""
D2 ,1,"PESD3V3L4UG_","TO_SOT_Packages_SMD:SOT-353_SC-70-5_Handsoldering",""
DS1 ,1,"LED-LITEON-C155GEKT","manuf:LITEON-LED2-C155GEKT","","LED LITEON C155GEKT"
FID1 FID2 FID3 ,3,"Fiducial","Fiducial:Fiducial_1mm_Mask2mm",""
H1 ,1,"MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
J1 ,1,"Screw_Terminal_02x06","lib:PHO_MKKDS_1_12-3,5",""
L1 ,1,"NR6028T4R7M,4.7uH","Inductors_SMD:L_6.3x6.3_H3",""
R1 R2 R7 R8 ,4,"0805,R10K","Resistors_SMD:R_0805",""
R3 ,1,"0805,R54K9","Resistors_SMD:R_0805",""
R4 R5 ,2,"0805,R120","Resistors_SMD:R_0805",""
R6 ,1,"0805,R1K2_NL","Resistors_SMD:R_0805",""
R10 R9 ,2,"0805,R4K7","Resistors_SMD:R_0805",""
SW1 ,1,"PTS645VH58-2 LFS","Buttons_Switches_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",""
U1 ,1,"TPS561201","TO_SOT_Packages_SMD:SOT-23-6",""
U2 ,1,"WeMos_mini","lib:D1_mini_board",""
U3 ,1,"MAX31855KASA","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
U4 ,1,"MCP3002","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
